symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
KKR,18.02,9.24,166.62,2016-02-11,2025-01-31,3277
ELTK,17.96,1.23,22.02,2019-05-13,2024-02-12,1736
GALT,17.96,0.51,9.16,2016-11-03,2018-06-18,592
BRN,17.95,0.31,5.6,2020-03-30,2021-01-28,304
SYTAW,17.93,0.03,0.54,2023-06-30,2025-05-20,690
YPF,17.91,2.57,46.03,2020-03-18,2025-01-07,1756
ZKIN,17.9,4.83,86.45,2020-03-19,2021-03-22,368
IPI,17.87,6.69,119.5,2016-03-01,2022-04-18,2238
APRE,17.85,0.47,8.46,2023-02-13,2024-02-29,381
TWI,17.82,1.1,19.6,2020-05-14,2022-06-07,754
BORR,17.78,0.47,8.38,2020-03-18,2023-08-01,1231
LEXXW,17.77,0.12,2.2,2023-11-02,2024-03-11,130
VET,17.66,1.56,27.51,2020-03-18,2022-08-29,894
IDN,17.66,0.85,15.01,2016-02-10,2021-02-08,1825
INFU,17.63,1.3,22.92,2017-05-18,2021-05-03,1446
MRVL,17.62,7.15,125.92,2016-01-19,2025-01-23,3292
USLM,17.62,8.93,157.35,2016-02-11,2024-11-26,3211
AVDL,17.59,1.07,18.82,2022-05-26,2024-05-03,708
CRS,17.55,13.43,235.71,2020-03-20,2025-05-19,1886
TBBK,17.53,3.58,62.75,2020-03-18,2025-02-05,1785
UFPT,17.52,20.46,358.42,2016-06-20,2024-09-20,3014
CDNS,17.5,18.66,326.5,2016-01-13,2024-06-18,3078
SHOT,17.5,0.32,5.6,2023-06-09,2023-12-04,178
TREX,17.48,8.05,140.68,2016-01-19,2021-12-10,2152
LPSN,17.47,4.1,71.56,2016-02-11,2021-02-19,1835
CCEC,17.46,1.35,23.57,2016-03-14,2025-05-20,3354
DKS,17.41,14.28,248.55,2020-03-18,2025-01-30,1779
RCON,17.4,14.15,246.24,2020-09-09,2021-06-03,267
EDN,17.4,2.83,49.23,2020-04-24,2024-12-13,1694
AA,17.4,5.27,91.7,2020-03-20,2022-03-24,734
RYI,17.34,2.41,41.85,2016-02-11,2023-07-03,2698
MYO,17.34,0.4,6.99,2023-01-12,2025-01-07,726
FLR,17.33,3.4,58.93,2020-03-18,2024-11-07,1695
STXS,17.3,0.59,10.17,2016-01-20,2021-06-21,1978
CLNE,17.26,1.08,18.64,2020-03-12,2021-02-09,334
SAIHW,17.22,0.02,0.35,2022-12-19,2023-04-14,115
CALX,17.2,4.65,79.97,2017-09-08,2021-12-31,1575
VST,17.2,11.14,191.57,2020-03-18,2025-01-23,1772
OPTT,17.17,0.34,5.84,2020-03-18,2021-01-25,313
EXTR,17.16,1.88,32.27,2020-03-18,2023-08-11,1241
AREN,17.12,0.57,9.76,2024-11-14,2025-05-19,185
SYRE,17.06,2.66,45.37,2023-06-21,2024-03-15,268
QURE,17.05,4.82,82.19,2017-05-09,2019-06-21,773
GDC,17.03,1.82,31.0,2022-12-28,2023-05-01,123
NGVC,16.97,3.52,59.74,2017-10-27,2025-05-09,2751
VTLE,16.97,6.85,116.32,2020-04-07,2022-06-07,791
DFIN,16.97,4.12,69.9,2020-03-25,2024-09-17,1637
RACE,16.94,29.86,505.86,2016-02-11,2025-02-20,3297
DVN,16.88,4.08,68.79,2020-03-18,2022-10-31,957
SLNHP,16.88,0.8,13.5,2023-10-17,2024-10-31,380
XPEL,16.87,6.01,101.4,2019-07-19,2021-07-23,735
GILT,16.86,1.26,21.3,2016-01-07,2021-02-12,1863
LIVE,16.84,4.2,70.74,2020-03-20,2021-06-08,445
CZR,16.83,7.1,119.49,2020-03-18,2021-10-01,562
ONC,16.81,23.98,403.14,2016-02-12,2021-09-17,2043
GTLS,16.8,14.25,239.47,2016-01-20,2022-11-08,2484
GRBK,16.79,4.99,83.77,2016-02-11,2024-10-16,3169
CLMB,16.79,8.31,139.45,2018-12-24,2024-11-22,2160
WPRT,16.77,7.25,121.6,2020-03-23,2021-02-08,322
TMDX,16.77,10.5,176.11,2020-03-16,2024-08-27,1625
AVPTW,16.73,0.51,8.6,2022-10-19,2025-05-13,937
TIGR,16.69,2.2,36.72,2020-03-18,2021-02-16,335
ADAP,16.69,0.72,12.1,2019-11-15,2020-06-02,199
MLSS,16.68,0.28,4.67,2018-12-24,2021-03-10,807
NMM,16.68,3.82,63.78,2020-03-23,2024-10-03,1655
LLY,16.67,57.26,954.76,2016-12-01,2024-08-30,2828
SNAP,16.66,4.99,83.11,2018-12-21,2021-09-24,1007
SRPT,16.64,10.74,178.74,2016-02-08,2020-12-22,1779
GOGO,16.63,1.4,23.28,2020-05-08,2022-04-14,706
STIM,16.62,1.28,21.27,2020-03-23,2021-01-22,305
CMBM,16.6,3.91,64.92,2020-03-16,2021-04-12,392
KLAC,16.58,53.33,884.19,2016-02-11,2024-07-10,3071
MCRB,16.55,45.6,754.6,2019-06-14,2020-11-17,522
VEEV,16.55,20.61,341.0,2016-02-11,2021-08-05,2001
FANG,16.51,12.39,204.52,2020-03-18,2024-07-17,1582
FTEK,16.51,0.39,6.44,2020-04-02,2021-01-25,298
IONQ,16.47,3.1,51.07,2022-12-27,2025-01-06,741
DY,16.47,13.49,222.22,2020-03-18,2025-05-21,1890
PTCT,16.45,4.19,68.92,2016-11-03,2021-01-07,1526
AM,16.43,1.15,18.96,2020-03-18,2025-05-16,1885
MU,16.34,9.35,152.74,2016-05-13,2024-06-18,2958
AVTX,16.33,1272.96,20793.6,2017-04-28,2019-02-27,670
WULF,16.32,0.54,8.82,2023-03-16,2024-11-11,606
NXE,16.29,0.55,8.88,2020-03-23,2024-11-22,1705
GDS,16.25,7.12,115.71,2017-06-09,2021-02-19,1351
EXE,16.24,7.13,115.75,2020-05-14,2025-05-21,1833
ATKR,16.22,11.72,190.07,2020-03-18,2024-04-01,1475
PHVS,16.2,1.98,32.07,2022-12-02,2024-02-05,430
CDIOW,16.2,0.04,0.73,2023-02-24,2023-03-02,6
ARLP,16.19,1.71,27.74,2020-10-19,2025-01-24,1558
KURA,16.19,2.57,41.62,2016-07-05,2020-12-11,1620
VRNS,16.17,4.54,73.41,2016-02-09,2021-09-07,2036
ONMDW,16.16,0.01,0.08,2024-01-22,2024-08-13,203
NAK,16.16,0.21,3.36,2016-01-20,2017-02-10,387
AGYS,16.16,8.77,141.74,2016-01-11,2024-12-17,3263
KOS,16.16,0.53,8.55,2020-03-19,2023-02-27,1075
PBR,16.14,0.93,15.0,2016-02-11,2024-05-09,3009
CG,16.12,3.48,56.15,2016-02-09,2025-01-23,3271
XPRO,16.12,1.54,24.83,2020-09-30,2023-09-15,1080
EH,16.12,7.7,124.09,2020-07-28,2021-02-12,199
INO,16.09,23.64,380.28,2019-10-01,2020-06-29,272
CEADW,16.06,0.0,0.05,2023-12-27,2024-04-18,112
