symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
CPSS,13.97,1.08,15.09,2020-03-19,2022-05-09,781
TGB,13.93,0.22,3.05,2020-03-23,2024-05-20,1519
BMEA,13.93,3.0,41.8,2022-04-29,2023-06-08,405
GSL,13.9,2.05,28.43,2020-03-19,2024-06-25,1559
COHN,13.89,1.9,26.41,2019-11-27,2021-03-03,462
ESLAW,13.89,0.02,0.3,2023-01-25,2023-09-01,218
CDXS,13.88,3.01,41.78,2016-03-22,2021-11-08,2057
RVSN,13.87,1.08,14.98,2024-01-03,2024-01-30,27
MED,13.84,21.3,294.78,2016-02-04,2021-05-28,1939
HOVRW,13.83,0.01,0.13,2024-10-15,2024-12-27,73
TKO,13.83,12.74,176.16,2016-02-12,2025-02-12,3288
GRNQ,13.83,3.0,41.5,2020-04-03,2021-02-17,320
AGI,13.81,2.2,30.33,2016-01-20,2025-04-16,3373
PIPR,13.81,24.91,344.02,2016-02-02,2024-11-25,3219
CRWD,13.79,33.01,455.36,2020-03-16,2025-02-18,1800
AENT,13.78,0.74,10.26,2023-12-15,2025-01-06,388
NIVFW,13.77,0.01,0.12,2022-11-28,2024-04-23,511
WCC,13.75,15.43,212.14,2020-03-18,2024-11-25,1713
EVGOW,13.73,0.14,1.91,2024-07-02,2024-10-24,114
IDT,13.73,4.8,65.98,2018-05-31,2021-11-12,1261
AREBW,13.73,0.01,0.07,2023-12-08,2025-04-04,482
ERJ,13.72,4.11,56.34,2020-11-02,2025-03-19,1597
FOXXW,13.71,0.02,0.34,2022-10-26,2024-12-06,772
HEES,13.7,7.34,100.57,2016-02-11,2025-02-18,3295
DRD,13.68,1.25,17.16,2016-01-04,2025-04-16,3389
MVO,13.66,0.86,11.73,2020-03-23,2022-12-30,1012
NNE,13.65,3.26,44.51,2024-05-14,2025-01-24,255
CMG,13.64,5.03,68.55,2018-02-13,2024-06-18,2316
LXEH,13.63,2.06,28.08,2024-11-21,2025-04-08,137
MLTX,13.62,4.69,63.86,2022-05-16,2024-02-12,637
CHSN,13.62,1.1,14.98,2023-04-10,2023-12-14,248
ELEV,13.61,0.38,5.17,2023-11-10,2024-04-03,144
CRGOW,13.59,0.03,0.37,2023-11-27,2025-02-21,452
AVNW,13.59,3.09,41.98,2016-06-27,2021-04-06,1744
TDUP,13.59,0.53,7.18,2024-11-04,2025-05-20,196
CREV,13.58,6.67,90.59,2023-10-24,2023-11-07,14
INSP,13.56,24.05,326.08,2018-05-07,2023-07-14,1894
RICK,13.56,7.08,95.98,2020-03-18,2023-01-11,1029
CNQ,13.51,2.92,39.47,2020-03-18,2024-04-10,1484
BZUN,13.51,4.91,66.33,2016-02-12,2018-06-12,850
AERTW,13.51,0.01,0.15,2022-12-20,2023-10-30,313
MDIA,13.49,0.42,5.6,2023-12-28,2024-08-14,229
SSY,13.47,0.36,4.85,2016-02-19,2021-03-16,1851
PVL,13.46,0.32,4.28,2020-11-09,2022-06-10,577
QS,13.45,9.79,131.67,2020-08-21,2020-12-22,123
TIL,13.39,6.31,84.52,2023-12-07,2024-09-13,280
PODD,13.38,24.68,330.23,2016-02-11,2023-05-12,2646
CHX,13.38,2.9,38.82,2020-03-23,2024-04-05,1474
WVE,13.37,1.23,16.44,2022-05-13,2024-11-08,910
VALE,13.35,1.24,16.59,2016-01-25,2022-04-04,2260
TSM,13.34,16.79,223.93,2016-01-13,2025-01-23,3298
TAL,13.34,6.76,90.15,2016-01-15,2021-02-19,1862
MOBBW,13.32,0.07,0.88,2024-06-05,2024-12-26,204
SFM,13.3,13.32,177.12,2020-03-12,2025-02-14,1800
OKTA,13.29,21.95,291.78,2017-07-31,2021-02-12,1292
FOXF,13.29,14.14,187.93,2016-01-26,2021-11-15,2120
CMMB,13.27,9.6,127.36,2020-03-25,2021-02-10,322
HYMCW,13.27,0.3,3.98,2020-04-01,2020-08-06,127
COGT,13.27,1.28,16.99,2020-03-16,2022-09-01,899
EVGN,13.25,7.5,99.4,2020-03-18,2021-02-11,330
UKOMW,13.25,0.05,0.66,2020-04-29,2021-02-05,282
AIFU,13.25,0.11,1.51,2025-04-29,2025-05-21,22
UPST,13.23,29.47,390.0,2020-12-16,2021-10-15,302
CWH,13.2,2.96,39.1,2020-03-18,2021-05-04,412
SRZNW,13.17,0.01,0.08,2023-10-17,2024-03-25,160
LNZAW,13.15,0.12,1.61,2022-10-06,2023-09-19,348
FLNG,13.14,2.22,29.19,2020-03-23,2022-11-30,982
KAI,13.13,32.14,422.1,2016-01-21,2024-11-26,3232
VFSWW,13.13,0.6,7.89,2023-08-21,2023-08-31,10
STEC,13.13,0.21,2.7,2024-08-19,2024-10-16,58
EME,13.12,40.83,535.64,2016-01-20,2025-01-22,3290
RIG,13.12,0.67,8.8,2020-10-30,2023-07-31,1004
ZBRA,13.1,46.93,614.55,2016-07-06,2021-12-10,1983
APA,13.09,3.57,46.76,2020-04-01,2022-06-07,797
OXBR,13.07,0.54,7.06,2018-12-24,2021-12-27,1099
WRN,13.07,0.2,2.64,2016-01-20,2021-05-27,1953
IMVT,13.07,3.38,44.19,2022-06-16,2023-12-26,558
CAAP,13.05,1.68,21.92,2020-04-03,2025-05-19,1872
EDRY,13.04,3.28,42.75,2020-06-05,2022-04-21,685
NVFY,13.03,9.75,127.0,2016-06-22,2016-10-03,103
DELL,13.03,13.52,176.14,2020-03-18,2024-05-29,1533
EYPT,13.03,2.28,29.71,2023-03-24,2024-02-12,325
TYG,13.0,3.6,46.83,2020-03-18,2025-01-21,1770
UUUU,12.99,0.85,10.99,2020-03-12,2021-11-12,610
HLNE,12.98,15.43,200.34,2017-03-01,2024-11-11,2812
BX,12.98,15.1,196.0,2016-02-11,2024-11-22,3207
GGB,12.97,0.43,5.63,2016-01-21,2023-07-31,2747
REPX,12.95,3.81,49.36,2017-03-30,2021-02-10,1413
RENB,12.95,0.4,5.18,2023-06-28,2023-10-10,104
JFBRW,12.94,0.02,0.22,2023-12-14,2024-01-10,27
AEMD,12.91,8.36,107.9,2019-12-26,2021-06-09,530
TOL,12.88,12.97,167.04,2020-03-23,2024-11-25,1708
NPKI,12.82,0.67,8.59,2020-04-01,2025-05-13,1868
ZLAB,12.82,14.95,191.71,2018-10-11,2021-01-20,832
HLX,12.82,1.0,12.82,2020-04-03,2024-07-16,1565
EGY,12.8,0.59,7.54,2017-08-28,2022-06-21,1758
GLP,12.8,4.61,58.97,2020-03-18,2025-02-20,1800
MSPRZ,12.8,0.03,0.37,2023-10-25,2023-11-06,12
SNEX,12.78,7.37,94.15,2016-02-11,2025-05-07,3372
NVAWW,12.77,0.86,10.98,2024-08-20,2025-01-06,139
REVG,12.76,3.02,38.49,2020-03-30,2025-05-20,1877
CSPI,12.76,2.17,27.73,2016-02-22,2024-03-01,2930
RMSGW,12.75,0.01,0.06,2023-06-07,2025-05-05,698
PTGX,12.74,4.69,59.76,2019-12-03,2025-03-11,1924
COKE,12.73,114.38,1455.8,2016-06-09,2025-02-13,3171
NBN,12.72,8.61,109.54,2020-03-18,2025-02-07,1787
EXEL,12.71,3.64,46.26,2016-02-29,2025-05-15,3362
DRMAW,12.7,0.0,0.06,2022-12-06,2023-02-13,69
FEMY,12.7,0.31,3.89,2023-09-21,2023-10-02,11
KTTAW,12.68,0.0,0.05,2023-12-19,2024-10-02,287
ROAD,12.65,8.17,103.36,2018-12-20,2025-05-13,2335
HCC,12.65,5.89,74.53,2017-06-21,2024-11-07,2696
CYBR,12.64,32.78,414.31,2016-02-12,2025-02-13,3289
TPC,12.62,2.91,36.73,2020-03-17,2025-05-16,1886
MTZ,12.61,12.75,160.79,2016-02-11,2025-01-21,3267
COSM,12.61,1.82,23.01,2022-11-09,2022-12-16,37
INMB,12.6,2.21,27.85,2020-03-18,2021-09-07,538
EPAM,12.59,57.0,717.49,2016-02-12,2021-11-08,2096
SERV,12.59,1.82,22.92,2024-06-26,2025-02-13,232
PGR,12.56,23.18,291.12,2016-01-25,2025-03-17,3338
FBP,12.55,1.74,21.88,2016-01-25,2024-11-06,3208
FN,12.55,21.8,273.5,2016-01-19,2024-08-21,3136
GTIM,12.53,0.45,5.64,2020-04-08,2021-10-05,545
AAPL,12.51,20.65,258.42,2016-05-12,2024-12-26,3150
ASTH,12.51,9.55,119.45,2020-03-16,2021-11-16,610
IMRN,12.5,1.6,20.0,2020-04-07,2020-06-09,63
METC,12.49,1.7,21.2,2020-05-13,2024-01-09,1336
Z,12.49,16.01,199.9,2016-02-08,2021-02-16,1835
GFI,12.48,1.98,24.67,2018-09-10,2025-04-16,2410
DUO,12.48,0.35,4.38,2024-05-10,2024-10-02,145
BCRX,12.47,1.58,19.76,2019-11-14,2022-02-16,825
AMODW,12.45,0.01,0.12,2023-12-18,2025-02-13,423
ALGN,12.45,58.65,729.92,2016-02-08,2021-09-08,2038
GSHD,12.45,13.49,167.96,2018-04-30,2021-10-11,1260
CNVS,12.43,5.84,72.6,2020-03-23,2020-06-04,73
KGC,12.42,1.26,15.61,2016-01-19,2025-05-07,3395
AUDC,12.42,3.31,41.07,2016-06-14,2020-07-27,1504
WWR,12.42,0.95,11.8,2020-04-02,2020-10-06,187
AMSC,12.39,2.97,36.81,2017-08-08,2024-11-11,2652
LFWD,12.38,2.94,36.4,2020-04-03,2021-02-16,319
IMNM,12.37,2.21,27.34,2022-12-30,2024-03-07,433
CTAS,12.37,18.24,225.64,2016-01-21,2024-11-26,3232
MRKR,12.37,0.71,8.78,2023-03-31,2023-07-25,116
RCL,12.36,22.15,273.83,2020-03-18,2025-01-30,1779
XYF,12.36,1.34,16.55,2020-09-24,2025-05-21,1700
LGHLW,12.36,0.07,0.9,2020-09-29,2021-02-18,142
FATBW,12.31,0.8,9.85,2020-07-14,2021-06-28,349
LQDT,12.29,3.06,37.61,2020-03-27,2025-01-28,1768
CLSD,12.29,0.59,7.2,2019-09-03,2021-08-27,724
INTT,12.29,2.19,26.91,2020-03-18,2023-06-27,1196
HUSA,12.27,0.92,11.3,2020-09-11,2022-03-07,542
GCMGW,12.26,0.23,2.85,2024-02-06,2025-02-19,379
ISRLW,12.25,0.02,0.24,2024-09-12,2025-05-14,244
PDX,12.25,2.55,31.25,2020-03-18,2025-01-17,1766
RKDA,12.24,156.8,1919.6,2017-12-07,2018-03-14,96
ORMP,12.24,2.43,29.75,2019-11-20,2021-11-08,719
STKL,12.24,1.35,16.52,2019-10-18,2021-02-11,482
DOMO,12.24,7.98,97.7,2020-03-23,2021-08-26,521
TRMD,12.24,2.89,35.4,2018-10-31,2024-07-23,2092
MESO,12.23,1.72,21.04,2024-01-18,2024-12-30,347
HOVNP,12.22,1.41,17.26,2018-12-27,2025-04-01,2286
ILLR,12.21,0.68,8.26,2024-03-20,2024-05-06,47
LOB,12.18,7.94,96.71,2020-03-18,2021-11-04,596
UCL,12.17,0.49,5.96,2022-10-10,2023-02-02,115
PCTY,12.15,25.17,305.75,2016-02-09,2021-11-01,2091
CRVL,12.15,10.57,128.46,2016-11-09,2025-02-05,3010
KTOS,12.14,2.99,36.29,2016-01-26,2025-05-02,3383
APLD,12.14,0.88,10.68,2022-07-13,2024-11-25,866
AXGN,12.13,4.61,55.9,2016-01-15,2018-07-23,919
CASI,12.12,6.79,82.3,2016-01-13,2018-06-29,897
COEPW,12.11,0.02,0.19,2022-10-20,2023-03-22,153
DNN,12.1,0.2,2.42,2020-03-18,2024-05-29,1533
EUDA,12.08,0.5,6.05,2023-07-18,2024-12-12,513
MUR,12.08,3.86,46.61,2020-03-18,2022-11-11,968
PRPO,12.07,11.6,140.0,2020-04-07,2020-07-30,114
SPWR,12.06,0.26,3.08,2024-04-17,2024-09-19,155
JKS,12.06,6.47,78.0,2018-10-29,2020-10-20,722
WTO,12.05,46.25,557.5,2024-04-05,2024-08-27,144
RVLV,12.03,7.3,87.79,2020-03-23,2021-11-18,605
EQT,12.02,4.69,56.36,2020-02-26,2025-05-14,1903
LTRX,12.01,0.83,9.97,2016-02-29,2021-11-08,2079
SGI,12.0,5.75,68.97,2020-03-18,2025-02-18,1798
BOXL,12.0,14.0,168.0,2020-03-23,2020-07-16,115
CYCCP,11.99,1.78,21.31,2016-01-15,2024-01-30,2937
NKTX,11.99,1.31,15.71,2023-10-02,2024-03-06,156
SPT,11.98,12.04,144.26,2020-04-13,2021-09-23,528
PTEN,11.97,1.53,18.3,2020-04-03,2022-05-27,784
XTIA,11.97,3206250.0,38390625.0,2019-12-12,2020-01-03,22
ZG,11.95,17.06,203.79,2016-02-08,2021-02-16,1835
NEON,11.93,1.1,13.12,2023-10-30,2025-05-02,550
ANIX,11.9,0.6,7.14,2017-08-15,2021-03-17,1310
DDD,11.9,4.65,55.35,2020-09-25,2021-02-09,137
YI,11.88,23.0,273.3,2019-09-06,2021-02-16,529
ELPW,11.87,0.59,6.95,2025-03-28,2025-05-19,52
QLYS,11.86,17.36,205.89,2016-02-09,2023-12-19,2870
OFG,11.85,3.9,46.19,2016-02-11,2024-11-25,3210
PGY,11.84,30.36,359.4,2022-07-18,2022-08-02,15
PDD,11.83,17.15,202.82,2018-11-13,2021-02-17,827
TPB,11.83,6.85,81.0,2016-06-16,2025-05-07,3247
ZEOWW,11.82,0.01,0.15,2023-12-11,2025-01-24,410
SJT,11.82,1.03,12.13,2020-03-23,2022-08-18,878
JSPRW,11.82,0.02,0.24,2022-12-28,2024-03-05,433
IOVA,11.82,4.45,52.59,2017-08-16,2021-02-08,1272
UONEK,11.82,0.63,7.4,2020-05-14,2021-10-04,508
MTSI,11.81,12.6,148.78,2019-05-07,2025-01-21,2086
TAIT,11.81,0.45,5.36,2016-04-27,2019-05-08,1106
GIC,11.81,3.77,44.56,2017-03-24,2024-03-21,2554
CSBR,11.8,1.48,17.47,2016-09-16,2018-09-28,742
SRV,11.79,4.03,47.55,2020-03-18,2025-01-22,1771
TVGN,11.76,0.26,3.05,2024-10-09,2024-10-25,16
TATT,11.74,3.0,35.21,2020-03-18,2025-05-15,1884
JAKK,11.72,3.08,36.11,2020-03-27,2023-12-19,1362
BILL,11.72,29.21,342.26,2020-03-18,2021-11-09,601
TDG,11.72,125.62,1472.62,2016-02-09,2025-05-05,3372
JFBR,11.71,4.55,53.3,2023-11-01,2023-12-15,44
BTG,11.71,0.52,6.07,2016-01-25,2020-08-05,1653
PFSI,11.7,9.87,115.54,2016-03-10,2024-09-16,3111
GCLWW,11.7,0.01,0.12,2022-12-27,2025-02-19,785
STLD,11.7,13.08,153.09,2016-01-21,2024-11-06,3212
GDEVW,11.69,0.03,0.37,2023-03-17,2023-03-31,14
BLDEW,11.68,0.5,5.84,2020-04-02,2021-02-12,316
AKBA,11.68,0.25,2.92,2022-11-29,2025-05-20,902
ESTA,11.67,7.56,88.21,2020-03-18,2021-07-01,470
PPSI,11.66,0.51,5.92,2020-05-29,2021-12-08,558
VTGN,11.66,8.88,103.5,2019-11-15,2021-07-01,593
CHEK,11.63,5.28,61.4,2020-11-04,2021-03-15,130
AGS,11.63,1.05,12.22,2020-03-18,2025-05-21,1890
CRDO,11.63,7.35,85.5,2023-05-04,2025-01-22,629
IRTC,11.63,23.08,268.46,2016-11-04,2021-01-20,1538
TTEK,11.62,4.33,50.36,2016-01-21,2024-10-29,3203
ALVOW,11.6,0.5,5.8,2022-11-16,2024-02-26,467
WATT,11.59,12.48,144.6,2020-04-03,2021-02-19,322
FSLY,11.58,11.13,128.83,2020-03-16,2020-10-13,211
MTUS,11.58,2.26,26.18,2020-04-22,2022-06-07,776
PANW,11.57,18.0,208.28,2017-04-05,2025-02-18,2876
SIRI,11.57,2.43,28.09,2024-06-10,2024-12-09,182
ARQQ,11.56,3.79,43.83,2024-10-07,2024-12-26,80
WB,11.56,9.39,108.54,2016-02-12,2018-02-23,742
SLS,11.54,1.53,17.66,2020-04-02,2020-12-10,252
EQ,11.52,2.3,26.5,2020-03-24,2020-07-13,111
KALA,11.47,3.67,42.09,2022-12-22,2023-01-04,13
AAON,11.47,12.25,140.49,2016-01-19,2024-11-11,3219
FRO,11.46,2.33,26.71,2018-02-28,2024-05-28,2280
MBOT,11.46,1.42,16.28,2018-12-18,2019-12-24,371
LIQT,11.45,8.35,95.6,2017-06-21,2021-02-08,1328
SLQT,11.45,0.53,6.05,2022-10-21,2025-02-18,851
PRTA,11.45,6.89,78.89,2019-08-23,2021-09-23,762
GTE,11.44,1.84,21.0,2020-03-20,2022-06-08,810
JANX,11.42,5.85,66.83,2023-11-09,2024-12-04,391
FSLR,11.42,26.33,300.71,2017-04-03,2024-06-12,2627
IMO,11.41,6.86,78.31,2020-03-18,2024-10-07,1664
ARLO,11.4,1.5,17.1,2020-03-16,2024-07-17,1584
ONCY,11.4,0.42,4.76,2019-10-02,2019-12-31,90
GTEC,11.4,1.39,15.85,2020-03-19,2021-03-29,375
MSCI,11.39,57.04,649.79,2016-02-08,2021-11-16,2108
LYTS,11.33,2.17,24.58,2019-03-27,2025-01-23,2129
HOFVW,11.33,0.18,2.04,2020-10-29,2021-03-29,151
XOMA,11.32,4.03,45.61,2017-02-10,2020-12-21,1410
MLI,11.31,8.38,94.8,2020-03-18,2024-11-11,1699
ADCT,11.3,0.47,5.29,2023-11-09,2024-02-16,99
CCJ,11.29,5.41,61.14,2020-03-18,2024-12-05,1723
JFIN,11.26,1.32,14.84,2022-05-11,2025-03-27,1051
OMER,11.25,1.08,12.15,2023-10-27,2024-11-26,396
UPWK,11.24,5.4,60.7,2020-04-03,2021-07-13,466
DSYWW,11.24,0.01,0.13,2023-12-26,2024-06-10,166
AJG,11.23,30.73,345.24,2016-01-28,2025-03-31,3349
RGNX,11.22,7.32,82.15,2016-07-19,2018-07-10,721
AMKR,11.21,3.88,43.56,2016-02-12,2024-07-16,3076
ARBEW,11.2,0.25,2.8,2020-10-30,2021-11-11,377
PN,11.19,0.36,4.03,2017-11-22,2025-03-04,2659
AOSL,11.18,5.88,65.72,2020-03-20,2022-03-24,734
CCB,11.18,9.01,100.71,2020-03-18,2025-03-03,1811
CSCI,11.18,29.87,334.0,2020-11-02,2021-02-08,98
SINT,11.17,5838.02,65200.0,2020-03-18,2020-08-04,139
PAVM,11.17,12.61,140.85,2019-12-10,2021-09-23,652
CNET,11.15,11.1,123.8,2020-03-19,2021-02-17,335
GCTK,11.15,28.71,320.0,2023-04-04,2023-04-10,6
MTR,11.14,2.45,27.27,2020-09-24,2023-05-24,972
LBRT,11.14,2.18,24.28,2020-04-01,2024-05-31,1521
EDU,11.14,8.56,95.4,2022-03-14,2024-03-04,721
STM,11.14,4.8,53.47,2016-02-10,2023-07-27,2723
DAKT,11.14,1.75,19.5,2022-12-08,2024-12-06,729
RR,11.11,0.37,4.11,2024-08-06,2025-01-06,153
IRS,11.1,1.57,17.45,2020-09-23,2024-12-05,1534
DXYZ,11.09,9.0,99.79,2024-03-26,2024-04-08,13
LNG,11.09,22.77,252.54,2016-02-08,2025-01-16,3265
NBY,11.07,343.0,3797.5,2019-05-24,2019-06-10,17
SYNA,11.07,26.45,292.85,2019-05-31,2021-12-07,921
RYAM,11.06,0.97,10.75,2020-04-03,2021-03-15,346
THM,11.05,0.19,2.09,2016-01-04,2020-07-07,1645
MMYT,11.05,10.9,120.46,2020-03-18,2024-12-06,1724
AZ,11.04,0.85,9.39,2024-06-20,2025-05-14,328
EOSE,11.03,0.64,7.11,2024-05-08,2025-05-15,372
NNVC,11.03,1.52,16.76,2019-10-14,2020-01-31,109
FCNCA,11.02,213.2,2348.85,2016-02-11,2024-11-22,3207
DAR,11.01,7.92,87.18,2016-02-11,2022-06-07,2307
VCTR,11.0,6.48,71.27,2018-10-26,2024-11-26,2223
EVLVW,11.0,0.19,2.09,2022-05-09,2023-08-15,463
INUV,10.99,0.17,1.87,2020-03-19,2021-02-09,327
JBL,10.99,15.75,173.17,2016-05-13,2025-01-24,3178
SOHOB,10.99,1.9,20.89,2020-03-18,2023-06-29,1198
SPSC,10.98,19.62,215.42,2016-03-24,2024-07-31,3051
ATOS,10.98,0.78,8.62,2020-03-16,2021-06-25,466
MULN,10.97,21060000000.0,230985000000.0,2020-04-02,2021-02-18,322
GPRE,10.96,4.0,43.86,2020-03-18,2021-11-08,600
KC,10.95,1.9,20.81,2022-09-22,2025-02-14,876
APYX,10.94,1.59,17.4,2016-05-31,2021-11-22,2001
LUNR,10.93,2.11,23.07,2024-01-04,2025-01-24,386
COCH,10.93,0.91,9.95,2023-11-17,2024-03-06,110
ET,10.93,1.86,20.35,2016-02-08,2025-01-30,3279
EVH,10.92,3.64,39.74,2020-03-16,2022-09-12,910
IDXX,10.91,64.67,705.76,2016-01-28,2021-08-05,2015
OKE,10.91,10.48,114.36,2020-03-18,2024-11-22,1710
MPLX,10.9,4.92,53.61,2020-03-18,2025-03-17,1825
TNET,10.9,12.12,132.05,2016-03-01,2024-04-03,2954
RDVT,10.9,4.52,49.29,2018-05-10,2025-05-20,2567
GKOS,10.89,14.81,161.22,2016-02-08,2025-01-23,3272
AGM,10.89,19.6,213.38,2016-01-15,2024-12-11,3253
GCI,10.88,0.64,6.93,2020-04-07,2021-10-01,542
LFMD,10.88,1.15,12.51,2023-03-17,2024-05-03,413
RVMDW,10.86,0.07,0.76,2024-06-26,2024-11-08,135
KYN,10.86,1.22,13.21,2020-03-18,2025-01-24,1773
PRSO,10.85,33.6,364.4,2020-03-23,2021-06-04,438
SBSW,10.85,1.71,18.59,2018-08-16,2022-03-07,1299
REAL,10.85,1.03,11.18,2023-05-02,2024-12-30,608
ARCB,10.84,13.91,150.77,2016-06-27,2024-04-11,2845
AMBR,10.84,1.18,12.79,2024-04-29,2025-03-17,322
NXRT,10.84,7.71,83.61,2016-02-10,2022-04-28,2268
ISRG,10.83,56.36,610.45,2016-02-08,2025-01-22,3271
SKT,10.83,3.37,36.45,2020-04-03,2024-11-27,1699
OSCR,10.83,2.15,23.28,2022-12-21,2024-05-21,516
GFF,10.82,7.85,84.95,2020-03-23,2024-11-25,1708
PAMT,10.82,3.66,39.56,2017-04-19,2021-11-16,1672
XBIO,10.82,4.9,53.0,2020-03-19,2021-07-29,497
YCBD,10.82,209.3,2264.4,2020-03-18,2021-02-10,329
WMS,10.81,16.51,178.42,2016-02-11,2024-05-21,3021
PHM,10.81,13.73,148.44,2016-02-11,2024-10-18,3171
LC,10.8,4.41,47.61,2020-06-26,2021-11-01,493
XBIT,10.8,2.01,21.67,2018-09-11,2020-01-15,491
DYN,10.79,4.36,47.04,2022-06-02,2024-08-21,811
RNA,10.78,4.87,52.5,2023-10-27,2024-11-13,383
CCS,10.78,9.84,106.02,2020-03-18,2024-09-19,1646
RUSHA,10.77,5.94,63.97,2016-02-11,2024-11-06,3191
FSI,10.76,0.65,7.04,2016-02-16,2025-02-14,3286
EVOK,10.75,76.35,820.8,2019-06-26,2020-08-14,415
PUMP,10.75,1.51,16.23,2020-03-18,2022-04-20,763
NEO,10.75,5.57,59.88,2016-02-12,2021-02-12,1827
MSFT,10.75,43.16,464.02,2016-06-27,2024-07-05,2930
PSNL,10.74,4.75,51.02,2020-03-16,2021-01-20,310
HLI,10.74,17.62,189.27,2016-07-05,2024-11-25,3065
MYRG,10.71,16.64,178.21,2020-03-18,2024-04-05,1479
GVA,10.71,9.32,99.88,2020-03-17,2024-12-04,1723
TRIB,10.71,3.1,33.2,2020-03-18,2021-02-16,335
CPHI,10.67,60.0,640.0,2016-02-11,2021-02-17,1833
LULU,10.67,47.91,511.29,2017-05-30,2023-12-29,2404
IXHL,10.65,0.82,8.73,2023-10-24,2023-12-05,42
ARBK,10.65,0.38,4.08,2022-12-16,2023-12-28,377
BAND,10.63,18.16,193.08,2017-11-17,2020-10-13,1060
TNK,10.62,6.64,70.51,2018-12-24,2024-05-30,1983
SLXNW,10.62,0.02,0.17,2022-12-28,2024-08-12,592
HEI,10.62,26.46,281.13,2016-01-19,2025-05-19,3407
TMHC,10.61,7.05,74.8,2020-03-18,2024-11-25,1713
FAT,10.6,1.09,11.57,2020-03-23,2021-06-28,462
BTCM,10.6,25.5,270.2,2020-09-03,2021-02-16,166
EMX,10.6,0.35,3.71,2016-01-21,2021-01-05,1811
BDMD,10.58,1.05,11.11,2024-12-30,2025-01-13,14
SCNX,10.58,1.92,20.35,2023-04-04,2024-07-18,471
HEPS,10.57,0.35,3.68,2022-06-30,2025-02-14,960
AVAV,10.56,22.28,235.17,2016-10-21,2024-11-11,2943
COIN,10.56,32.53,343.62,2022-12-28,2024-12-06,709
SDA,10.56,4.1,43.31,2023-05-18,2023-06-01,14
IRDM,10.55,6.17,65.08,2016-01-21,2023-04-21,2646
MNKD,10.55,0.71,7.44,2017-05-03,2024-11-06,2744
HESM,10.55,4.08,43.06,2020-03-18,2025-03-19,1827
TRTN,10.54,7.94,83.76,2016-11-03,2023-07-24,2454
ETNB,10.54,2.09,22.03,2022-05-09,2023-06-13,400
GRYP,10.53,0.13,1.42,2025-04-08,2025-05-12,34
CENX,10.53,2.8,29.49,2016-01-13,2022-03-04,2242
IVP,10.52,32.63,343.25,2024-06-24,2024-07-18,24
PAM,10.52,9.02,94.88,2020-03-23,2025-01-10,1754
AXR,10.52,3.66,38.5,2016-02-11,2024-12-05,3220
LUCYW,10.5,0.09,0.99,2022-12-27,2023-04-19,112
REI,10.49,0.47,4.96,2020-11-04,2022-05-04,545
ESOA,10.49,1.79,18.74,2022-07-18,2024-12-16,882
VRAX,10.49,0.61,6.4,2024-05-02,2024-08-21,111
MUSA,10.48,52.9,554.26,2016-01-27,2024-11-26,3226
WFRD,10.48,12.65,132.61,2021-06-02,2024-07-16,1140
AIMDW,10.47,0.02,0.26,2024-09-27,2025-05-05,220
NN,10.47,1.72,18.0,2023-03-23,2024-12-16,634
BYD,10.47,7.57,79.31,2020-03-18,2025-02-19,1799
ADVM,10.47,24.5,256.4,2017-07-06,2020-06-23,1083
GSAT,10.44,3.86,40.35,2020-03-23,2021-09-08,534
FET,10.44,3.18,33.21,2020-04-01,2023-01-25,1029
CVGI,10.43,1.28,13.35,2020-04-22,2021-05-07,380
PRT,10.43,0.74,7.7,2020-03-18,2022-06-08,812
NSIT,10.42,21.61,225.24,2016-01-19,2024-07-26,3110
KPLTW,10.42,0.55,5.73,2020-04-02,2021-02-12,316
HWKN,10.41,13.2,137.39,2016-02-25,2024-12-04,3205
NGD,10.41,0.41,4.22,2020-03-16,2025-05-21,1892
CXAI,10.41,1.33,13.85,2023-04-11,2023-04-14,3
TLSA,10.4,0.67,6.99,2020-02-24,2020-07-31,157
NVO,10.4,13.92,144.81,2016-11-23,2024-06-25,2770
STGW,10.4,1.02,10.61,2020-03-20,2021-11-05,595
ASM,10.39,0.28,2.91,2020-03-16,2025-05-20,1891
DGXX,10.37,0.35,3.66,2022-12-28,2025-01-30,764
LOGI,10.37,12.67,131.45,2016-01-15,2021-06-09,1971
LE,10.37,4.16,43.16,2020-04-03,2021-07-22,475
X,10.36,4.75,49.23,2020-03-18,2023-12-18,1370
GOGL,10.36,1.38,14.29,2016-02-25,2024-05-21,3007
DLPN,10.35,3.7,38.32,2020-03-18,2021-03-24,371
TFIN,10.34,12.92,133.63,2016-02-11,2021-11-24,2113
VNET,10.34,1.42,14.68,2024-02-05,2025-02-20,381
LUMN,10.33,0.98,10.12,2023-11-01,2024-11-11,376
NRT,10.32,1.36,13.98,2020-03-24,2023-07-24,1217
VCIG,10.31,1613.91,16637.93,2023-04-24,2023-05-02,8
NML,10.3,0.89,9.2,2020-03-18,2025-01-21,1770
BNED,10.3,115.0,1185.0,2020-04-03,2021-10-08,553
FINV,10.3,1.0,10.35,2020-03-18,2025-03-18,1826
MOS,10.28,7.07,72.63,2020-03-18,2022-04-18,761
SMHI,10.28,1.49,15.32,2020-05-21,2024-07-16,1517
PXS,10.28,2.6,26.72,2016-01-21,2017-12-04,683
