ticker,ep_score,current_price,gap_percent,price_1d,price_5d,volume_surge,current_volume,avg_volume_20d,rsi,above_50ma,recent_high,atr,volatility,is_sideways,consolidation_days,range_percent,criteria_met,scan_date
HONDW,85,2.25,18.75,75.78125,84.42622950819673,19.334053517561806,1784363.0,92291.2,85.27014317065523,True,False,0.17972142857142856,18.36041274736178,False,120,1444.4444444444443,Big gap: 18.8% | Huge volume: 19.3x | Some consolidation | Above 50MA,2025-05-24 10:39:07
LEU,85,113.29,19.942041429644732,21.594933991628213,18.31853785900784,6.191099626708474,4260230.0,688121.7,86.3073434502006,True,False,7.6199214285714305,6.987173537482222,False,120,148.8760144210234,Big gap: 19.9% | Huge volume: 6.2x | Some consolidation | Above 50MA,2025-05-24 10:40:10
MRUS,85,55.14,20.673076923076923,32.54807692307692,32.67564966313763,8.685002101348333,7883815.0,907750.5,67.708959711365,True,False,3.7584499999999994,8.324774832166758,False,120,50.28623079240737,Big gap: 20.7% | Huge volume: 8.7x | Some consolidation | Above 50MA,2025-05-24 10:40:54
UEC,85,6.45,16.279069767441857,25.0,21.928166351606805,7.596689804420676,67071044.0,8828982.85,69.20634920634922,True,False,0.3781571428571429,6.229560992652205,False,120,131.94805194805195,Big gap: 16.3% | Huge volume: 7.6x | Some consolidation | Above 50MA,2025-05-24 10:44:17
LTBR,75,15.2,13.227016885553471,42.58911819887429,46.57666345226615,23.67881162537974,19607208.0,828048.65,81.17219917012447,True,False,1.261642857142857,10.287192108006318,False,120,286.7276887871853,Gap up: 13.2% | Huge volume: 23.7x | Some consolidation | Above 50MA,2025-05-24 10:40:24
OKLO,75,48.87,12.437059415911374,23.036253776435043,29.559915164369034,6.115430902682838,92503108.0,15126179.9,85.82363747703614,True,False,4.48035,7.496990848854688,False,120,245.04084014002333,Gap up: 12.4% | Huge volume: 6.1x | Some consolidation | Above 50MA,2025-05-24 10:41:42
SMR,75,30.24,12.559241706161137,19.431279620853072,25.113777410012396,5.610720696770274,48870367.0,8710176.4,87.88228505481823,True,False,2.269192857142857,6.67254438733406,False,120,191.5162454873646,Gap up: 12.6% | Huge volume: 5.6x | Some consolidation | Above 50MA,2025-05-24 10:43:22
EU,70,1.97,10.624999999999996,23.124999999999993,20.1219512195122,3.8921702129357154,7414940.0,1905091.4,72.72727272727273,True,False,0.11629999999999997,6.003525457014105,False,120,294.05940594059405,Gap up: 10.6% | Volume surge: 3.9x | Some consolidation | Above 50MA,2025-05-24 10:37:57
EVO,70,4.73,13.64764267990074,17.369727047146405,16.502463054187213,3.6437790603081415,530778.0,145666.9,61.66666666666667,True,False,0.23002142857142854,5.217289043376841,False,120,89.08450704225353,Gap up: 13.6% | Volume surge: 3.6x | Some consolidation | Above 50MA,2025-05-24 10:38:01
UUUU,70,5.4,11.11111111111111,20.000000000000007,23.569794050343255,4.413289968521259,33177758.0,7517692.75,74.30167597765362,True,False,0.2703285714285717,4.8630048785428475,False,120,133.4375,Gap up: 11.1% | Volume surge: 4.4x | Some consolidation | Above 50MA,2025-05-24 10:44:26
GSRTR,65,3.52,14.71571906354515,17.725752508361197,17.419440923343792,16.63236247633374,320647.0,19278.5,91.164779119478,True,False,0.25403571428571425,4.975051409386329,False,0,0.0,Gap up: 14.7% | Huge volume: 16.6x | Above 50MA,2025-05-24 10:38:52
DGLY,55,2.5,7782.352941176469,9703.921568627451,6150.0,0.01947413961604611,2276190.0,116882699.05,98.18061140826924,True,False,0.19932142857142857,2169.609514486799,False,120,4800.0,Big gap: 7782.4% | Some consolidation | Above 50MA,2025-05-24 10:37:22
LCFYW,55,6.6,10.18363939899832,10.18363939899832,10.18363939899832,2.437880918893577,260.0,106.65,60.76923076923077,True,False,0.18714285714285714,6.613387205759172,False,120,7347.147147147148,Gap up: 10.2% | Good volume: 2.4x | Some consolidation | Above 50MA,2025-05-24 10:40:09
GCMGW,40,1.21,11.538461538461526,16.34615384615384,-6.923076923076929,0.8967140628151259,61580.0,68672.95,36.19047619047618,False,False,0.14232142857142854,9.59331366660097,False,120,251.19047619047623,Gap up: 11.5% | Some consolidation,2025-05-24 10:38:32
