symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
WKHS,96.14,107.5,10335.0,2018-12-18,2021-02-04,779,6290540.0,Auto Manufacturers
DJTWW,94.8,0.43,40.5,2021-10-11,2024-10-29,1114,4537750528.0,Internet Content & Information
ALF,94.42,0.11,10.49,2022-10-24,2025-05-15,934,376265632.0,Shell Companies
WGS,94.33,1.24,116.97,2023-11-13,2025-04-29,532,1933980288.0,Diagnostics & Research
NVVEW,94.25,0.04,3.77,2020-05-04,2020-11-25,205,,Specialty Retail
CELH,92.41,1.04,96.11,2018-12-21,2024-03-13,1908,9428165632.0,Beverages - Non-Alcoholic
NOTV,91.8,0.63,57.88,2016-11-23,2021-11-19,1822,69393056.0,Diagnostics & Research
USARW,91.04,0.04,3.3,2023-12-18,2025-04-16,484,,Other Industrial Metals & Mining
DAVEW,90.0,0.01,0.9,2023-11-06,2025-05-21,561,,Software - Application
BTBT,88.7,0.33,29.27,2020-03-25,2021-01-04,285,502830016.0,Capital Markets
NXLIW,88.67,0.01,0.66,2024-01-16,2024-11-19,308,,Medical Devices
SHOP,87.46,1.93,169.06,2016-02-12,2021-11-19,2107,132276232192.0,Software - Application
MDAIW,87.24,0.01,0.86,2022-10-31,2024-12-30,791,,Medical Devices
NVAX,86.7,3.69,319.93,2019-11-20,2021-02-08,446,1151606784.0,Biotechnology
PLUG,86.09,0.85,73.18,2017-02-09,2021-01-26,1447,826331968.0,Electrical Equipment & Parts
SLNO,86.08,0.89,76.78,2022-12-15,2025-05-09,875,3693872896.0,Biotechnology
CAMT,85.03,1.61,137.24,2016-01-20,2024-07-08,3091,2950982912.0,Semiconductor Equipment & Materials
VXRT,84.44,0.28,23.33,2019-11-22,2021-02-02,438,104366384.0,Biotechnology
TDACW,83.79,0.04,3.74,2020-04-28,2021-02-19,297,2887040.0,Shell Companies
LTRYW,83.79,0.04,3.74,2020-04-28,2021-02-19,297,,
MPU,82.44,0.16,13.19,2020-04-06,2021-09-29,541,35912800.0,Entertainment
INOD,82.26,0.78,64.17,2020-04-01,2025-02-26,1792,1105053952.0,Information Technology Services
CVNA,82.13,3.72,305.52,2022-12-27,2025-05-14,868,34159048704.0,Auto & Truck Dealerships
ARQQW,80.92,0.05,4.14,2024-01-11,2024-12-27,351,,Software - Infrastructure
OCGN,80.58,0.2,15.81,2020-07-14,2021-02-08,209,242385728.0,Biotechnology
MTEKW,79.21,0.02,1.6,2023-12-29,2025-01-06,374,,Electronic Components
FATE,78.7,1.49,117.4,2016-05-19,2021-01-14,1701,134120608.0,Biotechnology
SDAWW,78.59,0.01,0.79,2022-11-01,2023-08-08,280,,
CYRX,78.13,1.07,83.29,2016-02-09,2021-11-04,2094,307842400.0,Integrated Freight & Logistics
KOSS,78.05,0.82,64.0,2020-04-03,2021-01-29,301,55223460.0,Consumer Electronics
SMCI,75.92,1.56,118.81,2018-08-22,2024-03-13,2030,24857468928.0,Computer Hardware
PR,75.86,0.23,17.25,2020-04-01,2024-04-09,1469,10374313984.0,Oil & Gas E&P
ATNFW,74.9,0.04,2.68,2020-05-21,2021-04-12,326,,Biotechnology
OBE,74.53,0.16,11.85,2020-03-27,2022-06-08,803,334259552.0,Oil & Gas E&P
WORX,74.47,2.42,180.3,2018-08-06,2020-04-13,616,973820.0,Health Information Services
SEZL,74.45,1.36,101.1,2023-10-27,2025-05-21,572,3299005184.0,Credit Services
ILLRW,73.35,0.01,0.44,2023-12-27,2024-06-11,166,,Software - Application
ARWR,72.96,1.24,90.47,2016-12-16,2021-02-05,1512,2114311040.0,Biotechnology
AR,72.2,0.67,48.31,2020-04-01,2022-06-07,797,12144711680.0,Oil & Gas E&P
AMTX,70.67,0.37,26.19,2020-03-18,2021-04-08,386,94681680.0,Specialty Chemicals
CLNNW,69.89,0.04,2.45,2020-05-12,2021-07-13,427,,Packaged Foods
UAVS,69.21,227.0,15710.0,2019-08-19,2021-02-10,541,10095217.0,Computer Hardware
AXSM,68.88,2.0,137.75,2018-12-27,2025-02-21,2248,5207241728.0,Biotechnology
TNDM,68.4,2.24,153.21,2017-11-03,2021-12-28,1516,1442045824.0,Medical Devices
BGFV,68.05,0.5,34.22,2020-04-03,2021-11-11,587,26740466.0,Specialty Retail
ADNWW,68.0,0.06,4.08,2020-03-23,2021-01-14,297,,Electrical Equipment & Parts
CRC,68.0,0.86,58.64,2020-04-01,2024-11-22,1696,3781911808.0,Oil & Gas E&P
LNTH,67.55,1.83,123.62,2016-02-08,2024-07-11,3075,5197928960.0,Drug Manufacturers - Specialty & Generic
RZLVW,66.67,0.02,1.0,2023-01-04,2024-12-30,726,,Software - Infrastructure
KOPN,64.57,0.21,13.56,2020-03-16,2021-02-16,337,212812800.0,Electronic Components
MAPSW,64.14,0.22,14.11,2020-05-20,2021-02-17,273,,Software - Application
CIFRW,63.53,0.04,2.7,2022-12-21,2024-11-11,691,,Capital Markets
DFDV,63.0,0.49,31.04,2024-09-04,2025-05-21,259,514012480.0,Software - Infrastructure
SES,62.9,0.31,19.5,2019-06-14,2019-10-14,122,344181472.0,Auto Parts
MTDR,61.64,1.14,70.39,2020-03-18,2022-11-07,964,5452590592.0,Oil & Gas E&P
TTD,61.19,2.28,139.51,2016-11-08,2024-12-04,2948,36597465088.0,Software - Application
FLGT,61.08,3.01,183.85,2017-11-21,2021-02-09,1176,617548416.0,Diagnostics & Research
QUBT,61.07,0.42,25.68,2024-07-01,2024-12-18,170,1485128192.0,Computer Hardware
HUDI,60.81,2.96,180.0,2021-08-18,2022-11-04,443,21989968.0,Steel
LIDRW,60.64,0.0,0.2,2023-12-27,2025-01-06,376,,Software - Infrastructure
EDBLW,60.44,0.0,0.3,2024-09-19,2025-05-21,244,,Farm Products
BNGO,59.95,155.82,9342.0,2020-04-02,2021-02-16,320,12177680.0,Medical Instruments & Supplies
IBIO,58.81,54.5,3205.0,2019-11-27,2020-07-20,235,12726469.0,Biotechnology
ABTS,58.54,7.5,439.05,2020-03-09,2021-07-13,491,8816921.0,Capital Markets
PMTS,58.45,0.77,45.01,2019-12-24,2023-03-31,1192,225404368.0,Credit Services
TRGP,58.21,3.7,215.14,2020-03-18,2025-01-21,1770,34789384192.0,Oil & Gas Midstream
DRUG,58.09,0.96,55.77,2024-07-11,2024-11-06,118,215542992.0,Biotechnology
JYNT,56.18,1.91,107.3,2016-07-06,2021-09-03,1885,153181024.0,Medical Care Facilities
WGSWW,55.77,0.01,0.29,2023-12-14,2025-03-12,453,,Diagnostics & Research
BNZI,55.29,10.3,569.5,2018-07-11,2023-12-08,1976,16067373.0,Software - Application
APP,54.85,9.3,510.13,2022-12-27,2025-02-14,780,121260990464.0,Software - Application
RVPHW,54.53,0.05,2.77,2020-03-26,2023-05-04,1134,,Biotechnology
MDGL,54.37,6.54,355.88,2016-02-11,2025-02-26,3303,6155642880.0,Biotechnology
BBW,54.32,0.88,47.67,2020-04-03,2024-12-26,1728,534843008.0,Specialty Retail
SLRX,53.74,54.0,2902.0,2018-12-24,2019-07-23,210,1659924.0,Biotechnology
ATLC,53.58,1.63,87.34,2018-05-25,2021-11-03,1258,751318336.0,Credit Services
TPL,53.57,32.22,1726.12,2016-01-19,2024-11-22,3230,31162963968.0,Oil & Gas E&P
SM,53.47,0.97,51.61,2020-04-01,2022-06-07,797,2644072192.0,Oil & Gas E&P
RGTI,53.32,0.38,20.0,2023-05-03,2025-01-02,610,3181940224.0,Computer Hardware
AEHR,53.16,1.01,53.69,2016-05-24,2023-08-01,2625,252163760.0,Semiconductor Equipment & Materials
KIRK,52.63,0.63,33.06,2020-03-17,2021-04-29,408,25822444.0,Home Improvement Retail
IZEA,52.43,0.53,28.04,2020-03-18,2021-01-25,313,47562340.0,Internet Content & Information
TC,51.68,9.09,469.8,2016-01-14,2018-11-20,1041,2397114.0,Advertising Agencies
VRMEW,51.55,0.01,0.5,2024-12-20,2025-01-13,24,,Security & Protection Services
ZJYL,51.43,0.27,13.81,2023-05-22,2024-01-25,248,125112368.0,Medical Instruments & Supplies
MSTR,51.39,9.22,473.83,2020-03-18,2024-11-20,1708,111394521088.0,Software - Application
ROOT,51.36,3.46,177.69,2023-03-13,2025-03-24,742,1934670208.0,Insurance - Property & Casualty
AXON,51.22,14.5,742.75,2016-01-19,2025-05-20,3408,57247932416.0,Aerospace & Defense
MOBXW,50.86,0.01,0.28,2023-12-15,2024-04-22,128,,Semiconductors
CLS,50.77,2.83,143.67,2020-03-18,2025-02-05,1785,13112538112.0,Electronic Components
LMB,50.75,2.53,128.4,2020-03-23,2025-05-20,1884,1476324224.0,Building Products & Equipment
TSLA,50.1,9.58,479.86,2016-02-10,2024-12-17,3233,1077797650432.0,Auto Manufacturers
DQ,50.05,2.48,124.13,2016-01-19,2021-02-09,1848,932088128.0,Semiconductor Equipment & Materials
HPKEW,49.83,0.52,25.91,2020-10-22,2022-04-22,547,,Oil & Gas E&P
NTZ,49.78,0.46,22.75,2020-03-23,2021-06-01,435,37449640.0,"Furnishings, Fixtures & Appliances"
CLSKW,49.02,0.03,1.25,2024-11-05,2024-12-04,29,,Capital Markets
HUBCZ,48.75,0.0,0.04,2024-10-09,2025-02-05,119,,Software - Infrastructure
ANVS,48.39,2.5,120.97,2020-04-02,2021-07-13,467,39167260.0,Biotechnology
HDSN,48.26,0.31,14.96,2019-08-23,2024-02-26,1648,323061600.0,Specialty Chemicals
REKR,48.06,0.52,25.23,2018-12-20,2021-04-27,858,118040576.0,Software - Infrastructure
MOD,48.06,2.98,143.22,2020-04-03,2024-11-22,1694,4903051264.0,Auto Parts
ACIC,47.7,0.29,13.77,2022-11-25,2024-12-04,740,533337984.0,Insurance - Property & Casualty
NIO,47.61,1.32,62.84,2019-10-01,2021-02-09,497,8728124416.0,Auto Manufacturers
STRL,47.53,4.22,200.56,2016-05-06,2025-01-22,3183,5537775616.0,Engineering & Construction
ALTO,47.42,0.23,10.83,2020-03-17,2020-10-19,216,71891256.0,Specialty Chemicals
ETSY,46.68,6.36,296.91,2016-02-09,2021-11-24,2115,4848070144.0,Internet Retail
CPRX,46.37,0.56,25.74,2016-05-17,2025-03-24,3233,2966432000.0,Biotechnology
BLNK,46.35,1.31,60.72,2020-03-18,2021-01-26,314,73576192.0,Engineering & Construction
BGI,46.31,0.21,9.92,2016-03-01,2023-05-15,2630,17766488.0,Luxury Goods
BYON,46.16,2.65,122.32,2020-03-16,2020-08-20,157,354728928.0,Internet Retail
BURU,46.09,0.09,4.3,2024-06-13,2024-08-02,50,7701056.0,Specialty Industrial Machinery
NUKKW,45.96,0.01,0.34,2024-12-02,2024-12-19,17,2171586816.0,Software - Application
