symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
CORT,34.82,3.28,114.22,2016-01-28,2025-03-31,3349,8038211072.0,Biotechnology
VRNA,34.6,2.16,74.73,2020-03-18,2025-05-20,1889,6296086016.0,Biotechnology
ARGX,33.99,19.77,671.74,2017-06-26,2025-02-05,2781,35716812800.0,Biotechnology
XYZ,33.67,8.37,281.81,2016-02-08,2021-08-05,2004,34096652288.0,Software - Infrastructure
BLDR,32.04,6.59,211.12,2016-02-11,2024-03-21,2960,11977615360.0,Building Products & Equipment
DECK,31.67,7.04,223.11,2016-01-19,2025-01-30,3299,18722840576.0,Footwear & Accessories
BOOT,31.56,5.53,174.52,2016-02-02,2025-01-30,3285,4815817216.0,Apparel Retail
FRPT,31.54,5.86,184.82,2016-02-02,2021-04-30,1913,4168003072.0,Packaged Foods
SKY,31.53,3.46,108.92,2016-01-04,2024-12-11,3264,5012222976.0,Residential Construction
EXAS,31.38,4.94,155.01,2016-03-01,2021-02-12,1809,10731615232.0,Diagnostics & Research
SAIA,31.36,19.32,605.92,2016-01-19,2024-03-06,2969,7157887488.0,Trucking
VIST,31.32,1.9,59.5,2020-04-01,2025-01-15,1750,5247092224.0,Oil & Gas E&P
NVMI,31.1,8.8,273.65,2016-01-21,2025-02-20,3318,5415498240.0,Semiconductor Equipment & Materials
HUBS,30.96,27.52,852.08,2016-02-09,2021-11-16,2107,32763234304.0,Software - Application
KNSL,30.88,17.72,547.22,2016-08-03,2024-03-06,2772,10817188864.0,Insurance - Property & Casualty
RNG,30.83,14.38,443.29,2016-03-28,2021-02-12,1782,2371643392.0,Software - Application
MELI,30.54,85.27,2604.3,2016-02-09,2025-05-21,3388,131913113600.0,Internet Retail
CROX,30.4,5.94,180.57,2017-05-05,2021-11-12,1652,6326336512.0,Footwear & Accessories
OVV,30.28,1.9,57.38,2020-03-09,2022-06-07,820,9332554752.0,Oil & Gas E&P
